X,CH1,CH2,
-4.42332e-01,3.44e-01,2.62e+00,
-4.42259e-01,3.52e-01,2.62e+00,
-4.42186e-01,3.28e-01,2.62e+00,
-4.42112e-01,3.76e-01,2.62e+00,
-4.42039e-01,3.76e-01,2.62e+00,
-4.41966e-01,3.12e-01,2.62e+00,
-4.41893e-01,4.00e-01,2.62e+00,
-4.41819e-01,3.68e-01,2.62e+00,
-4.41746e-01,4.16e-01,2.62e+00,
-4.41673e-01,4.40e-01,2.62e+00,
-4.41600e-01,4.08e-01,2.62e+00,
-4.41526e-01,4.32e-01,2.62e+00,
-4.41453e-01,3.68e-01,2.62e+00,
-4.41380e-01,4.40e-01,2.62e+00,
-4.41307e-01,4.64e-01,2.62e+00,
-4.41233e-01,4.32e-01,2.62e+00,
-4.41160e-01,4.96e-01,2.62e+00,
-4.41087e-01,4.00e-01,2.62e+00,
-4.41014e-01,4.96e-01,2.62e+00,
-4.40940e-01,4.48e-01,2.62e+00,
-4.40867e-01,4.56e-01,2.62e+00,
-4.40794e-01,4.72e-01,2.62e+00,
-4.40721e-01,4.24e-01,2.62e+00,
-4.40647e-01,4.40e-01,2.62e+00,
-4.40574e-01,4.00e-01,2.62e+00,
-4.40501e-01,3.60e-01,2.62e+00,
-4.40428e-01,4.08e-01,2.62e+00,
-4.40354e-01,3.92e-01,2.62e+00,
-4.40281e-01,4.48e-01,2.62e+00,
-4.40208e-01,4.32e-01,2.62e+00,
-4.40135e-01,4.48e-01,2.64e+00,
-4.40062e-01,3.68e-01,2.62e+00,
-4.39988e-01,3.28e-01,2.62e+00,
-4.39915e-01,3.36e-01,2.62e+00,
-4.39842e-01,2.96e-01,2.62e+00,
-4.39769e-01,3.52e-01,2.62e+00,
-4.39695e-01,3.68e-01,2.62e+00,
-4.39622e-01,4.24e-01,2.64e+00,
-4.39549e-01,4.08e-01,2.62e+00,
-4.39476e-01,4.00e-01,2.62e+00,
-4.39402e-01,4.48e-01,2.62e+00,
-4.39329e-01,4.24e-01,2.62e+00,
-4.39256e-01,4.56e-01,2.62e+00,
-4.39183e-01,4.40e-01,2.62e+00,
-4.39109e-01,4.24e-01,2.62e+00,
-4.39036e-01,4.56e-01,2.62e+00,
-4.38963e-01,3.76e-01,2.64e+00,
-4.38890e-01,3.36e-01,2.62e+00,
-4.38816e-01,3.20e-01,2.62e+00,
-4.38743e-01,3.76e-01,2.62e+00,
-4.38670e-01,4.16e-01,2.64e+00,
-4.38597e-01,4.40e-01,2.62e+00,
-4.38523e-01,4.80e-01,2.62e+00,
-4.38450e-01,5.12e-01,2.62e+00,
-4.38377e-01,4.88e-01,2.62e+00,
-4.38304e-01,4.80e-01,2.62e+00,
-4.38230e-01,3.76e-01,2.64e+00,
-4.38157e-01,3.60e-01,2.62e+00,
-4.38084e-01,4.08e-01,2.62e+00,
-4.38011e-01,4.88e-01,2.62e+00,
-4.37938e-01,5.68e-01,2.62e+00,
-4.37864e-01,5.84e-01,2.62e+00,
-4.37791e-01,4.88e-01,2.62e+00,
-4.37718e-01,4.16e-01,2.62e+00,
-4.37645e-01,3.52e-01,2.64e+00,
-4.37571e-01,3.60e-01,2.64e+00,
-4.37498e-01,4.88e-01,2.62e+00,
