X,CH1,
Second,Volt,
-7.21140e-01,9.52e-01,
-7.21040e-01,9.60e-01,
-7.20940e-01,9.60e-01,
-7.20840e-01,9.60e-01,
-7.20740e-01,9.60e-01,
-7.20640e-01,9.60e-01,
-7.20540e-01,9.60e-01,
-7.20440e-01,9.60e-01,
-7.20340e-01,9.60e-01,
-7.20240e-01,9.60e-01,
-7.20140e-01,9.60e-01,
-7.20040e-01,9.68e-01,
-7.19940e-01,9.60e-01,
-7.19840e-01,9.60e-01,
-7.19740e-01,9.60e-01,
-7.19640e-01,9.60e-01,
-7.19540e-01,9.60e-01,
-7.19440e-01,9.60e-01,
-7.19340e-01,9.60e-01,
-7.19240e-01,9.60e-01,
-7.19140e-01,9.60e-01,
-7.19040e-01,9.60e-01,
-7.18940e-01,9.60e-01,
-7.18840e-01,9.60e-01,
-7.18740e-01,9.60e-01,
-7.18640e-01,9.52e-01,
-7.18540e-01,9.52e-01,
-7.18440e-01,9.60e-01,
-7.18340e-01,9.52e-01,
-7.18240e-01,9.60e-01,
-7.18140e-01,9.52e-01,
-7.18040e-01,9.52e-01,
-7.17940e-01,9.52e-01,
-7.17840e-01,9.52e-01,
-7.17740e-01,9.60e-01,
-7.17640e-01,9.60e-01,
-7.17540e-01,9.52e-01,
-7.17440e-01,9.60e-01,
-7.17340e-01,9.60e-01,
-7.17240e-01,9.60e-01,
-7.17140e-01,9.60e-01,
-7.17040e-01,9.60e-01,
-7.16940e-01,9.60e-01,
-7.16840e-01,9.60e-01,
-7.16740e-01,9.60e-01,
-7.16640e-01,9.60e-01,
-7.16540e-01,9.68e-01,
-7.16440e-01,9.60e-01,
-7.16340e-01,9.60e-01,
-7.16240e-01,9.60e-01,
-7.16140e-01,9.60e-01,
-7.16040e-01,9.60e-01,
-7.15940e-01,9.60e-01,
-7.15840e-01,9.60e-01,
-7.15740e-01,9.60e-01,
-7.15640e-01,9.60e-01,
-7.15540e-01,9.60e-01,
-7.15440e-01,9.60e-01,
-7.15340e-01,9.60e-01,
-7.15240e-01,9.60e-01,
-7.15140e-01,9.60e-01,
-7.15040e-01,9.52e-01,
-7.14940e-01,9.60e-01,
-7.14840e-01,9.52e-01,
-7.14740e-01,9.52e-01,
-7.14640e-01,9.52e-01,
-7.14540e-01,9.52e-01,
-7.14440e-01,9.52e-01,
-7.14340e-01,9.52e-01,
-7.14240e-01,9.52e-01,
-7.14140e-01,9.52e-01,
-7.14040e-01,9.60e-01,
-7.13940e-01,9.60e-01,
-7.13840e-01,9.60e-01,
-7.13740e-01,9.68e-01,
-7.13640e-01,9.68e-01,
-7.13540e-01,9.68e-01,
-7.13440e-01,9.68e-01,
-7.13340e-01,9.68e-01,
-7.13240e-01,9.68e-01,
-7.13140e-01,9.68e-01,
-7.13040e-01,9.68e-01,
-7.12940e-01,9.68e-01,
-7.12840e-01,9.68e-01,
-7.12740e-01,9.68e-01,
-7.12640e-01,9.68e-01,
-7.12540e-01,9.68e-01,
-7.12440e-01,9.68e-01,
-7.12340e-01,9.68e-01,
-7.12240e-01,9.60e-01,
-7.12140e-01,9.68e-01,
-7.12040e-01,9.60e-01,
-7.11940e-01,9.68e-01,
-7.11840e-01,9.60e-01,
-7.11740e-01,9.60e-01,
-7.11640e-01,9.60e-01,
-7.11540e-01,9.60e-01,
-7.11440e-01,9.68e-01,
-7.11340e-01,9.60e-01,
-7.11240e-01,9.60e-01,
-7.11140e-01,9.60e-01,
-7.11040e-01,9.60e-01,
-7.10940e-01,9.60e-01,
-7.10840e-01,9.60e-01,
-7.10740e-01,9.60e-01,
